■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP

●グローム系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
LAC－グローム	410	ニュード	1580	22x11	180	B+	2.5	ヴルカンLG2を所持	鉛板x10 超剛性メタルx2 ニュード群体x5	50
LAC－グロームβ	430	ニュード	1440	30x10	180	A+	2.5	LAC-グロームを所持	隕鉄塊x25 ニュード胚x15 ニュード融素子x1	150
LAC－グロームγ	510	ニュード	1000	36x10	320	B-	3.6	LAC-グロームβを所持	鉛板x15 複層重合金属x2 ニュード集積体x3	250
LAC－タルナダ	540	ニュード	940	46x8	320	A-	3.6	LAC-グロームγを所持	破壊工作/銀x5 複層重合金属x2 ニュード卵x20 ニュード融素子x2	350
LAC－ウラガーン	490	ニュード	920	60x9	320	A	4.0	LAC－タルナダを所持	破壊工作/銀x10 ウーツ重鋼x10 超剛性メタルx3 ニュード融素子x3	500

●LEC系統
○名称	重量	属性	威力	総弾数	爆発半径	連射速度	充填時間	リロード時間	条件	素材・勲章	GP
LEC－シュトラル	350	ニュード(チャージ)(単射)	1310/1965/2620	14x18	10	300	1.5	2.7	LAC-グロームβを所持	ニュード胚x25 破損ＩＣx10 ロゼンジ重回路x5	150
LEC－シュトラルβ	340	ニュード(チャージ)(単射)	1220/1525/1830	18x16	9	300	1.0	2.5	シュラトルを所持	ニュード卵x30 ニュード集積体x3 ハニカム回路x10	250
LEC－シュトラルγ	370	ニュード(チャージ)(3点射)	760/1140/1520	27x20	7	480	2.5	2.8	シュラトルβを所持	最優秀戦闘章x1 ニュード胚x10 ニュード群体x10 モノリスＮＳＩx2	350
LEC－メテオール	400	ニュード(チャージ)	1740/3045/4350	9x18	7	240	4.5	2.8	LEC－シュトラルγを所持	最優秀戦闘章x3 ニュード素子x20 ニュード融素子x3 破損ＩＣx15	500

●SLG系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
SLG－ルークス	360	ニュード	880	25x16	300	B	2.4	ヴルカンMC、LAC-グロームを所持	ニュード素子x20 ペンタクル回路x5 ロゼンジ重回路x2	150
SLG－ルークスβ	350	ニュード	800	31x13	300	A+	2.4	SLG－ルークスを所持	ニュード卵x25 ニュード群体x5 高磁性アグミナx3	250
SLG－ルークスγ	420	ニュード	670	45x12	375	B-	2.8	SLG－ルークスβを所持	プライムキーパーx10 ニュード胚x20 ニュード融素子x2 破損ＩＣx25	350
SLG－ラディウス	400	ニュード	740	27x16	375	A-	2.2	SLG－ルークスγを所持	プライムキーパーx20 ニュード集積体x5 ニュード結晶体x2 モノリスＮＳＩx3	500

●SLG系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
SLG－ルークス	360	ニュード	880	25x16	720	B	2.4	ヴルカンMC、LAC-グロームを所持	ニュード素子x20 ペンタクル回路x5 ロゼンジ重回路x2	150
SLG－ルークスβ	350	ニュード	800	31x13	720	A+	2.4	SLG－ルークスを所持	ニュード卵x25 ニュード群体x5 高磁性アグミナx3	250
SLG－ルークスγ	420	ニュード	670	45x12	900	B-	2.8	SLG－ルークスβを所持	プライムキーパーx10 ニュード胚x20 ニュード融素子x2 破損ＩＣx25	350
SLG－ラディウス	400	ニュード	740	27x16	900	A-	2.2	SLG－ルークスγを所持	プライムキーパーx20 ニュード集積体x5 ニュード結晶体x2 モノリスＮＳＩx3	500

●マシンカノン系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	OH耐性	OH復帰時間	条件	素材・勲章	GP
VFTマシンカノン	440	実弾	830	72x9	360	B	3.0	5.0	2.4	?	鉛板x30 チタン鋼x1 銅片x30	150
VFTマシンカノンII	420	実弾	780	108x8	360	A-	3.2	6.0	3.0	?	隕鉄塊x20 銀片x20 黄金片x20	250
VFTライオット	470	実弾	700	72x9	450	B-	3.6	4.6	1.8	?	重火力章x10 チタン鋼x20 超剛性メタルx5 銀片x20	350

●マシンカノン系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	充填時間	OH耐性	OH復帰時間	条件	素材・勲章	GP
VFTマシンカノン	440	実弾(一斉発射)	540	72x9	900	B	3.0	1.5	2.4	2.4	?	鉛板x30 チタン鋼x1 銅片x30	150
VFTマシンカノンII	420	実弾(一斉発射)	480	108x8	900	A-	3.2	1.5	4.0	3.0	?	隕鉄塊x20 銀片x20 黄金片x20	250
VFTライオット	470	実弾(一斉発射)	440	72x9	1080	B-	3.6	1.0	2.0	1.8	?	重火力章x10 チタン鋼x20 超剛性メタルx5 銀片x20	350

◆副武器
●サワード系統
○名称	重量	属性	威力	総弾数	爆発半径	弾速(初速)	連射速度	リロード時間	条件	素材・勲章	GP
サワードロケット	480	爆発	8800	1x5	10	80	（単発）	2.0	初期装備	なし	0
サワード・カスタム	500	爆発	6800	3x4	7	75	120	3.0	サワードロケットを所持	隕鉄塊x20 銅片x20	10
サワード・バラージ	530	爆発(3点射)	5600	3x5	8	70	800	3.5	サワード・カスタムを所持	鉛板x25 ニュード胚x20 ソノチップx3	50
サワード・コング	580	爆発	14000	1x3	16	30	（単発）	4.5	サワード・バラージを所持	施設破壊章x2 超剛性メタルx3 ニュード素子x10 銀片x20	150
サワード・スマイト	490	爆発	7700	1x6	15	100	（単発）	2.6	サワード・コングを所持	施設破壊章x5 ウーツ重鋼x10 超剛性メタルx2 カロラチップx1	250
SSPNランチャー	480	爆発	8800	1x5	10	80	（単発）	2.0	BB.NET専用アイテム	金メダルx1	0
コング/CV	580	爆発	14000	1x3	16	30	（単発）	4.5	BB.NET専用アイテム	BB.NET WEBゲームorSメダルx500,000	なし

●プラズマカノン系統
○名称	重量	属性	威力	総弾数	爆発半径	弾速(初速)	連射速度	リロード時間	条件	素材・勲章	GP
プラズマカノン	450	ニュード50%／爆発50%	5200	5x2	12	115	80	3.5	クラスC3到達。または累計バトル時間15000秒で支給。	なし	0
プラズマカノンMk－2	460	ニュード50%／爆発50%(3点射)	4500	3x7	8	110	750	2.5	プラズマカノンを所持	チタン鋼x5 ニュード卵x35 メタモチップx3	50
プラズマカノンXM	500	ニュード50%／爆発50%	9600	1x4	11	130	（単発）	3.0	プラズマカノンMk-2を所持	ニュード素子x15 ニュード群体x15 銀片x15	150
プラズマカノン・ネオ	480	ニュード50%／爆発50%	18000	1x3	7	110	（単発）	3.6	プラズマカノンXMを所持	撃破章x10 超剛性メタルx7 ニュード融素子x2 銅片x20	250
プラズマカノンUG	470	ニュード50%／爆発50%	7200	2x4	11	120	120	3.5	プラズマカノン・ネオを所持	撃破章x20 複層重合金属x3 ニュード群体x10 黄金片x5	350

●チャージカノン系統
○名称	重量	属性	威力	総弾数	爆発半径	弾速(初速)	連射速度	充填時間	リロード時間	条件	素材・勲章	GP
チャージカノン	490	ニュード50%／爆発50%(チャージ)	3500/5250/7000	10x1	11	100	100	1	4	プラズマカノンMk-2を所持	ニュード卵x30 ニュード集積体x1 ソノチップx3	150
チャージカノンMk－2	500	ニュード50%／爆発50%(3点射)(チャージ)	1920/3360/4800	6x3	10	100	750	2	3.5	チャージカノンを所持	ニュード素子x20 ニュード融素子x1 メタモチップx1	250
チャージカノンC	530	ニュード50%／爆発50%(チャージ)	3500/7000/10500	3x3	12	100	100	3	3.0	チャージカノンMk-2を所持	重火力章x10 ニュード胚x25 銀片x15 カロラチップx2	350
チャージカノン・イオ	560	ニュード50%／爆発50%(チャージ)	8000/16000/24000	1x3	12	100	（単発）	5.5	4	チャージカノンCを所持	重火力章x25 ニュード融素子x3 黄金片x10 モノリスＮＳＩx1	500

●MLRS系統
○名称	重量	属性	威力	総弾数	爆発半径	誘導性能	弾速(初速)	連射速度	リロード時間	条件	素材・勲章	GP
試験型MLRS	500	爆発(1ロック2発)	2600	6x3	12	C+	30	480	3.0	サワード・バラージを所持	チタン鋼x5 超剛性メタルx2 銅片x10	50
高速型MLRS	520	爆発(1ロック2発)	2000	6x4	11	D+	30	600	3.0	試験型MLRSを所持	隕鉄塊x15 ウーツ重鋼x5 メタモチップx2	150
強化型MLRS	570	爆発(1ロック1発)	4200	4x3	14	A+	30	320	4.0	高速型MLRSを所持	複層重合金属x1 銀片x20 ソノチップx10	250
多連装型MLRS	590	爆発(1ロック2発)	2300	8x3	9	B+	30	480	4.0	強化型MLRSを所持	破壊工作/銀x7 鉛板x30 黄金片x20 カロラチップx2	350
斉射型MLRS	620	爆発(1ロック1発)	2700	6x3	12	B-	30	480	4.0	多連装型MLRSを所持	破壊工作/銀x15 チタン鋼x15 複層重合金属x3 メタモチップx3	500

●シーカー系統
○名称	重量	属性	威力	総弾数	爆発半径	誘導性能	弾速(初速)	連射速度	リロード時間	条件	素材・勲章	GP
シーカーロケット	470	爆発	8000	1x5	14	D	40	(単発)	2.2	サワード・カスタムを所持	鉛板x20 ニュード胚x10 ニュード集積体x2	50
トライシーカー	510	爆発(3点射)	5200	3x5	11	D-	30	360	3.5	シーカーロケットを所持	チタン鋼x15 超剛性メタルx3 ニュード融素子x1	150
パワードシーカー	520	爆発	11500	1x3	18	D+	20	(単発)	3.5	トライシーカーを所持	アンチターレット/銅x5 ウーツ重鋼x10 複層重合金属x2 ニュード融素子x1	250
マルチシーカー	490	爆発	4800	5x3	13	D	60	210	4	パワードシーカーを所持	アンチターレット/銅x10 複層重合金属x3 ニュード集積体x3 破損ＩＣx10	350

●スプレッドランチャー系統
○名称	重量	属性	威力	総弾数	爆発半径	連射速度	リロード時間	条件	素材・勲章	GP
スプレッドランチャー	530	爆発(縦)	2800x5	2x4	10	90	4.5	累計バトル時間65000秒または重火力兵装のスコア5000pt以上。	超剛性メタルx2 ニュード群体x5 ハニカム回路x10	150
SPL－サージ	560	爆発(横)	2200x5	3x3	10	90	5.0	スプレッドランチャーを所持	複合重合金属x1 ニュード胚x20 破損ＩＣx20	250
SPL－プロミネンス	570	爆発(X字)	3800x5	1x4	12	(単発)	3.5	SPL－サージを所持	アンチトラップ/銀x3 隕鉄塊x25 ニュード集積体x5 高磁性アグミナx2	350
SPL－スピキュール	590	爆発(縦)	6500x3	1x3	15	(単発)	4.5	SPL－プロミネンスを所持	アンチトラップ/銀x7 ウーツ重鋼x15 ニュード卵x20 モノリスＮＳＩx2	500

●インパルスカノン系統
○名称	重量	属性	威力	総弾数	爆発半径	連射速度	充填時間	リロード時間	条件	素材・勲章	GP
インパルスカノン	550	ニュード50%／爆発50%(単射)(チャージ)	4400/7700/11000	3x2	12m/12m/17m	80	3.0	4.0	チャージカノンMk-2を所持	ニュード素子x10 ニュード群体x5 銅片x20	250
インパルスカノンTF	520	ニュード50%／爆発50%(3点射)(チャージ)	2700/4050/5400	6x3	10m/10m/15m	580	2.0	3.0	インパルスカノンを所持	撃破章x20 ニュード胚x30 銅片x20 メタモチップx5	350
エクスプロードカノン	580	ニュード50%／爆発50%(単射)(チャージ)	5100/9600/15000	1x4	15m/15m/20m	(単発)	2.5	3.5	インパルスカノンTFを所持	撃破章x30 ニュード集積体x5 カロラチップx3 ルミノチップx1	500

●ランサー系統
○名称	重量	属性	威力	総弾数	射出口径	リロード時間	連射速度	条件	素材・勲章	GP
PNC－ランサー	510	ニュード	6400	2x4	中	3.5	90	?	ニュード素子x10 ニュード群体x5 破損ＩＣx20	250
PNC－ランサーC	460	ニュード	5000	3x4	小	2.5	90	PNC－ランサーを所持	重火力章x10 ニュード素子x25 高磁性アグミナx5 誘電ヘリックスx1	350
PNC－ブリューナク	540	ニュード	8800	1x6	大	3.0	(単発)	PNC－ランサーCを所持	重火力章x25 ニュード集積体x3 ニュード結晶体x3 モノリスＮＳＩx3	500

●ブレイズランチャー系統
○名称	重量	属性	威力	総弾数	爆発半径	効果持続	リロード時間	連射速度	条件	素材・勲章	GP
ブレイズランチャー	540	ニュード50%／爆発50%	3000	2x3	9	1.5	4	90	?	チタン鋼x10 ウーツ重鋼x5 銅片x20	250
ブレイズランチャーC	560	ニュード50%／爆発50%	2400	3x4	7	1.2	3	240	ブレイズランチャー	プラントガード/銀x5 隕鉄塊x40 真鋼テクタイトx1 メタモチップx5	350

◆補助装備
●ECM系統
○名称	重量	効果時間	所持数	爆発半径	リロード時間	起爆時間	条件	素材・勲章	GP
ECMグレネード	140	5.0	3	25	1.0	2.5	初期装備	なし	0
試験型ECMグレネード	160	2.5	3	30	1.0	0.5	ECMグレネードを所持	ニュード卵x10 銅片x5	50
新型ECMグレネード	120	7.0	2	20	1.0	2.5	試験型ECMグレネードを所持	戦友章x5 ニュード群体x4 ニュード集積体x3	150
改良型ECMグレネード	170	4.0	3	22	1.0	1.0	新型ECMグレネード	戦友章x10 ニュード胚x10 ニュード集積体x2 カロラチップx2	250

●インパクトボム系統
○名称	重量	所持数	爆発半径	起爆時間	リロード時間	条件	素材・勲章	GP
インパクトボム	160	5	16	1.5	1.4	試験型ECMグレネードを所持	銅片x20 メタモチップx3	50
インパクトボムS	140	3	16	0.3	1.8	インパクトボムを所持	黄金片x10 ソノチップx5 カロラチップx1	150
インパクトボムV	180	4	22	2.5	1.2	インパクトボムSを所持	防衛章x10 銀片x30 メタモチップx3 カロラチップx1	250
インパクトボムX	130	3	20	1.0	1.4	インパクトボムVを所持	防衛章x20 ソノチップx15 カロラチップx1 モノリスＮＳＩx1	350

●ハウルHSG系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
ハウルHSG9	190	実弾(衝撃散弾)	280x8	3x4	90	中	2.5	?	銅片x30、黄金片x2 ハニカム回路x20	250
ハウルHSG9R	180	実弾(衝撃散弾)	200x10	4x4	90	小	3.0	ハウルHSG9を所持	バトルアシスト/金x3 銀片x5 カロラチップx3 誘電ヘリックスx1	350

●パイク系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	充填効果	充填時間	条件	素材・勲章	GP
アームパイク	210	近接(チャージ)	打撃Lv1(4500/6750/9000)	Lv1(6000/9000/12000)	小	2	クラスC3 or バトル時間15000秒で支給	なし	0
ヘヴィパイク	240	近接(チャージ)	打撃Lv1(5000/8750/12500)	Lv2(7000/12250/17500)	中	3	アームパイクを所持	COMBO/銀x5 隕鉄塊x15 超剛性メタルx7 ニュード素子x5	250
ラベージパイク	280	近接(チャージ)	打撃Lv1(5500/11000/16500)	Lv3(9000/18000/30000)	大	4	ヘヴィパイクを所持	COMBO/銀x15 チタン鋼x30 複層重合金属x2 ニュード群体x5	350

●チェーンソー系統
○名称	重量	属性	通常攻撃(威力)	継続ダメージ	移動低下	OH耐性	OH復帰時間	条件	素材・勲章	GP
バトルチェーンソー	290	近接	斬撃Lv1(1800)	6000	Lv2	12	3.5	累計バトル時間41000秒または重火力兵装のスコア3500pt以上。	鉛板x25 銀片x10 ソノチップx5	250
ブレイクチェーンソー	330	近接	斬撃Lv2(2700)	9000	Lv1	10	3	バトルチェーンソーを所持	ウーツ重鋼x15 銅片x20 メタモチップx2	350
ケイオスチェーンソー	380	近接	斬撃Lv3(4500)	15000	Lv3	2.5	2	ブレイクチェーンソーを所持	近接戦章x5 チタン鋼x20 超剛性メタルx5 カロラチップx2	500

◆特別装備
●榴弾砲系統
○名称	重量	属性	威力	最大発射弾数	射程距離	着弾時間	着弾誤差半径	爆発半径	チャージ時間	条件	素材・勲章	GP
タイタン榴弾砲	900	爆発	10000	6	300	5.5	15	25	50	初期装備	なし	0
コロッサス榴弾砲	940	爆発	7200	12	250	4.5	25	24	60	タイタン榴弾砲を所持	隕鉄塊x10 チタン鋼x15 銀片x10	150
アトラント榴弾砲	1010	爆発	12000	5	500	8	20	25	55	コロッサス榴弾砲を所持	鉛板x15 超剛性メタルx3 黄金片x15	250
ギガノト榴弾砲	1050	爆発	24000	1	350	10	0	40	60	アトラント榴弾砲を所持	砲撃章x3 メタモチップx5 ウーツ重鋼x8 ニュード卵x10	350
ネフィリム榴弾砲	1030	爆発(3点射)	10500	3	260	4	15	35	45	ギガノト榴弾砲を所持	砲撃章x5 超剛性メタルx2 銅片x30 カロラチップx3	500
タルラッピーキャノン	940	爆発	7200	12	250	4.5	25	24	60	BB.NET専用アイテム	「『BORDER BREAK UNION』VS『PSO2』コラボキャンペーン」	なし

●エアバスター系統
○名称	重量	属性	威力	最大発射弾数	射程距離	着弾時間	着弾誤差半径	爆発半径	爆発高度	チャージ時間	条件	素材・勲章	GP
エアバスターT10	720	爆発	9800	4	350	4.2	15	28	9	55	コロッサス榴弾砲を所持	チタン鋼x15 ニュード素子x5 メタモチップx1	50
エアバスターT25	890	爆発	14000	1	260	6.5	0	45	12	50	エアバスターT10を所持	鉛板x35 ニュード群体x5 ソノチップx5	150
エアバスターXHR	930	爆発	6800	9	300	6.5	30	30	8	65	エアバスターT25を所持	隕鉄塊x30 ニュード集積体x3 メタモチップx3	250
エアバスターT30	660	爆発	8200	2	400	6.0	10	35	9	35	エアバスターXHRを所持	撤去章x5 複層重合金属x2 ニュード素子x15 カロラチップx1	300
エアバスターTSL	970	爆発	7800	4	240	5.0	20	34	8	40	エアバスターT30を所持	撤去章x10 複層重合金属x3 ニュード融素子x2 ルミノチップx3	500

●重装砲系統
○名称	重量	属性	威力	最大発射弾数	射程距離	爆発半径	チャージ時間	条件	素材・勲章	GP
タウル重装砲	780	爆発	7500	6	250	18	35	累計バトル時間41000秒以上。または重火力スコア3500pt以上。	鉛板x20 超剛性メタルx1 ソノチップx3	50
ヴァーゴ重装砲	860	爆発	6500	10	250	16	45	タウル重装砲を所持	チタン鋼x15 黄金片x15 ペンタクル回路x5	150
ドラード重装砲	950	爆発	12500	2	250	24	32	ヴァーゴ重装砲を所持	隕鉄塊x20 カロラチップx2 高磁性アグミナx1	250
ハイドラ重装砲	840	爆発	5200	8	250	15	30	ドラード重装砲を所持	マルチバスター/銅x10 複層重合金属x2 銅片x25 ロゼンジ重回路x10	350
モノセロス重装砲	980	爆発	17000	1	250	28	40	?	マルチバスター/銅x20 複層重合金属x2 メタモチップx2 ロゼンジ重回路x15	500

●バリアユニット系統
○名称	重量	防弾効果	最大持続時間	耐久力	チャージ時間	条件	素材・勲章	GP
バリアユニット	710	前方LV2	50	C-	50	累計バトル時間49000秒以上。または重火力兵装の累計スコア4000pt以上	ニュード集積体x3 銅片x20	250
バリアユニットβ	680	全方LV1	60	E+	40	バリアユニットを所持	プラントガード/銀x5 ニュード卵x20 ニュード素子x10 カロラチップx2	350
バリアユニットγ	740	全方LV2	30	D	65	バリアユニットβを所持	プラントガード/銀x10 ニュード融素子x3 黄金片x15 高磁性アグミナx3	500

●UAD系統
○名称	重量	属性	威力	弾数	爆発半径	最大発射弾数	有効距離	チャージ時間	条件	素材・勲章	GP
UAD－レモラ	600	ニュード50%／爆発50%	800x6	10	3	120	120	35	累計戦闘時間57000秒以上。または重火力スコア4500pt以上。	ニュード胚x15 ニュード集積体x3 ソノチップx5	250
UAD－ケリブ	620	ニュード50%／爆発50%	450x10	9	4	100	100	20	UAD-レモラを所持	白銀武勲x10 ニュード融素子x2 銀片x20 メタモチップx3	350
UAD－ガレオス	670	ニュード50%／爆発50%	1500x4	12	2	90	140	25	UAD-ケリブを所持	白銀武勲x30 ニュード集積体x5 カロラチップx2 ペンタクル回路x15	500

●NeLIS系統
○名称	重量	属性	威力	連続使用時間	効果範囲	チャージ時間	条件	素材・勲章	GP
NeLIS－T1	700	ニュード100%(照射)	7200x2	4.5	Lv2	40	累計バトル時間73000秒以上。	ニュード胚x30 ハニカム回路x15 高磁性アグミナx2	150
NeLIS－T2	750	ニュード100%(照射)	4800x2	8.0	Lv1	30	NeLIS－T1を所持	ニュード群体x10 ニュード融素子x2 破損ＩＣx20	250
NeLIS－TXP	820	ニュード100%(照射)	10000x2	2.5	Lv3	25	NeLIS－T2を所持	COMBO/銀x15 ニュード卵x30 ニュード集積体x10 モノリスＮＳＩx1	350

■遊撃兵装
◆主武器
●Wマーゲイ系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
マーゲイM40	200	実弾	400x2	14x14	360	B	1.6	初期装備	なし	0
マーゲイ・カスタム	210	実弾	370x2	20x12	360	B+	1.7	マーゲイM40を所持	鉛板x10	10
マーゲイRF	220	実弾(3点射)	290x2	12x20	600	B-	1.4	マーゲイ・カスタムを所持	チタン鋼x10 黄金片x3	50
マーゲイ・ストライフ	250	実弾	500x2	9x17	360	C+	1.3	マーゲイRFを所持	鉛板x20 超剛性メタルx1 ソノチップx3	150
マーゲイ・バリアンス	270	実弾(3点射)	430x2	6x26	480	A	1.0	マーゲイ・ストライフを所持	遊撃章x7 隕鉄塊x20 ウーツ重鋼x5 カロラチップx1	250
MGカスタム/CV	210	実弾	370x2	20x12	360	B+	1.7	BB.NET専用アイテム	BB.NET WEBゲームorSメダルx500,000	なし

●Wレヴェラー系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
レヴェラーMP20	180	実弾	310x2	22x14	420	B-	1.5	支給装備 条件不明	なし	0
レヴェラーMP20C	170	実弾	250x2	26x15	480	A-	1.3	レヴェラーMP20を所持	超剛性メタルx3 銀片x15	50
レヴェラーR	190	実弾	230x2	36x11	540	B-	1.6	レヴェラーMP20Cを所持	ウーツ重鋼x5 黄金片x10 メタモチップx3	150
レヴェラー・ブルート	240	実弾	420x2	15x16	360	B-	1.7	レヴェラーRを所持	撃破章x１0 チタン鋼x25 銅片x15 ソノチップx10	250
レヴェラーRR	230	実弾	240x2	24x12	600	C+	1.4	レヴェラー・ブルートを所持	撃破章x２0 隕鉄塊x30 複層重合金属x2 メタモチップx2	350

●デュアルマシンガン系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
D90デュアル	290	実弾	210x2	42x12	600	C+	2.2	遊撃に移行したため条件不明	チタン鋼x10 ウーツ重鋼x3 銅片x25	50
D90カスタム	270	実弾	200x2	50x12	600	B	2.0	D90デュアルを所持	鉛板x20 隕鉄塊x30 メタモチップx2	150
D92ジェイナス	310	実弾	220x2	60x11	600	C+	2.8	D90カスタムを所持	超剛性メタルx2 黄金片x10 カロラチップx2	250
D99オルトロス	320	実弾	260x2	36x12	540	C	1.8	D92ジェイナスを所持	戦闘勝利章x5 複層重合金属x3 銀片x15 ソノチップx10	350
D102アシュヴィン	340	実弾	270x2	30x13	540	C+	1.6	D99オルトロスを所持	戦闘勝利章x10 ウーツ重鋼x5 超剛性メタルx5 カロラチップx3	500
ガルド・ミラ	290	実弾	210x2	42x12	600	C+	2.2	BB.NET専用アイテム	金メダルx1	0

●Wワイドショット系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
ワイドショット	230	実弾	110x3x2	18x11	480	中	1.4	レヴェラーMP20Cを所持	鉛板x10 ニュード集積体x2 黄金片x5	50
ワイドショットTF	250	実弾(3点射)	60x5x2	18x11	600	大	1.5	ワイドショットを所持	隕鉄塊x5 ニュード融素子x1 ソノチップx5	150
ワイドショットX	260	実弾(単射)	210x5x2	8x10	150	特大	1.5	ワイドショットTFを所持	複層重合金属x2 ニュード群体x5 銅片x15	250
ワイドショットX2	280	実弾	130x3x2	14x11	480	小	1.6	ワイドショットXを所持	ベースガード/銀x10 ウーツ重鋼x5 ニュード融素子x1 カロラチップx2	350

◆副武器
●38式狙撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
38式狙撃銃	230	実弾	3400	4x9	150	3.5	3.2	初期装備	なし	0
38式狙撃銃・改	270	実弾	4300	2x8	150	4.0	3.0	38式狙撃銃を所持	鉛板x15 銀片x5	50
38式狙撃銃・新式	240	実弾	3900	3x8	150	3.0	3.5	38式狙撃銃・改を所持	隕鉄塊x20 銅片x20 ソノチップx3	150
38式狙撃銃・遠雷	290	実弾	6500	1x7	0	4.0	3.8	38式狙撃銃・新式を所持	精密射撃章x3 チタン鋼x15 超剛性メタルx3 メタモチップx1	250
38式狙撃銃・鳴神	360	実弾(一斉発射x5)	2050	5x5	1200	4.5	6.0	38式狙撃銃・遠雷を所持	精密射撃章x7 ウーツ重鋼x20 黄金片x25 モノリスＮＳＩx1	350
フローズンシューター	270	実弾	4300	2x8	150	4.0	3.0	BB.NET専用アイテム	金メダルx1	0
遠雷/CV	290	実弾	6500	1x7	150	4.0	3.8	BB.NET専用アイテム	投票バトル！報酬	なし

●イーグルアイ系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
イーグルアイV44	220	実弾	2600	7x5	150	2.5倍／5.0倍	4.0	クラスC5到達。累計バトル時間11000秒以上。	隕鉄塊x10 銅片x10	10
イーグルアイTF	200	実弾(3点射)	1800	6x4	450	3.0倍／6.0倍	3.0	イーグルアイV44を所持	鉛板x20 ウーツ重鋼x5 ソノチップx10	50
イーグルアイ・ゼロ	260	実弾	4000	1x9	0	3.5倍／7.0倍	1.2	イーグルアイTFを所持	遊撃章x5 複層重合金属x1 銀片x20 メタモチップx5	150
イーグルアイVX	270	実弾	6000	1x7	0	3.5倍／7.0倍	2.4	イーグルアイ・ゼロと38式狙撃銃・新式を所持	遊撃章x10 ウーツ重鋼x15 複層重合金属x2 銅片x20	250
イーグルアイV55	290	実弾	3400	5x6	150	3.0倍／6.0倍	4.0	イーグルアイVXを所持	遊撃章x15 チタン鋼x30 超剛性メタルx3 メタモチップx5	350

●LZ狙撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
LZ－デイライト	280	ニュード	4750	1x10	0	5.0	4.5	累計バトル時間37000秒以上。または遊撃兵装の累計スコア3000pt以上	隕鉄塊x10 ニュード胚x20 ソノチップx3	50
LZ－デイライトS	290	ニュード	5400	1x8	0	7.0	5.0	LZ-デイライトを所持	ニュード卵x25 黄金片x10 メタモチップx3	150
LZ－トライアド	310	ニュード(3点射)	2800	3x9	600	5.0	4.3	LZ-デイライトSを所持	超剛性メタルx5 ニュード素子x5 ニュード群体x10	250
LZ－ヴェスパイン	330	ニュード	7600	1x5	0	5.0	5.5	LZ-トライアドを所持	精密射撃章x5 ウーツ重鋼x5 ニュード集積体x10 銅片x20	350
LZ－アキュレイト	320	ニュード	6300	1x6	0	5.0	5.0	LZ－ヴェスパインを所持	精密射撃章x10 複層重合金属x1 ニュード融素子x3 ソノチップx10	500

●LBR系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
LBR－ムーンレイ	260	ニュード(単射)	1750	9x3	240	2.5	4.0	LZ-トライアドを所持	ニュード素子x10 銀片x20 ソノチップx2	150
LBR－ムーンレイB	280	ニュード(3点射)	750	15x4	600	2.5	3.6	LBR-ムーンレイを所持	ニュード集積体x3 銅片x25 黄金片x10	250
LBR－ムーンレイR	310	ニュード	670	20x4	480	2.0	3.6	LBR-ムーンレイBを所持	破壊工作/銀x3 ニュード卵x10 ニュード群体x10 カロラチップx2	350
LBR－エクリプス	340	ニュード(単射)	2250	6x4	200	3.0	4.8	LBR-ムーンレイRを所持	破壊工作/銀x７ ニュード胚x20 ニュード融素子x3 メタモチップx3	500

●ブレイザー系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	充填時間	リロード時間	条件	素材・勲章	GP
ブレイザーライフル	320	ニュード(チャージ)	2350/4700/7050	1x6	0	5.0	2.0	3.5	LZ-デイライトSを所持	チタン鋼x15 ニュード胚x10 ニュード集積体x1	50
ブレイザーRF	350	ニュード(チャージ)	2000/3000/4000	4x4	150	4.0	1	3.0	ブレイザーライフルを所持	鉛板x15 超剛性メタルx5 ニュード卵x40	150
